,1.1 uS,1.2 uS,1.3 uS,1.4 uS,1.5 uS,1.6 uS,1.7 uS,1.8 uS,1.9 uS,2.0 uS,2.1 uS,2.2 uS,2.3 uS,2.4 uS,2.5 uS,2.6 uS,2.7 uS,2.8 uS,2.9 uS,3.0 uS,3.1 uS,3.2 uS,3.3 uS,3.4 uS,3.5 uS,3.6 uS,3.7 uS,3.8 uS,3.9 uS,4.0 uS,4.1 uS,4.2 uS,4.3 uS,4.4 uS,4.5 uS,4.6 uS,4.7 uS,4.8 uS,4.9 uS,5.0 uS,5.1 uS,5.2 uS,5.3 uS,5.4 uS,5.5 uS,5.6 uS,5.7 uS,5.8 uS,5.9 uS,6.0 uS
trk0,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 1.32%, 8.55%, 0.00%, 19.20%, 0.00%, 19.39%, 19.21%, 0.00%, 7.68%, 1.98%, 0.00%, 0.04%, 0.00%, 0.02%, 0.00%, 0.00%, 0.00%, 0.67%, 0.00%, 2.50%, 2.58%, 0.00%, 0.99%, 0.00%, 0.13%, 0.23%, 0.00%, 0.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.41%, 0.00%, 4.30%, 0.00%, 5.39%, 9.62%, 
trk1,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.00%, 1.37%, 10.67%, 0.00%, 18.88%, 0.00%, 13.48%, 13.03%, 0.00%, 7.40%, 2.82%, 0.00%, 1.72%, 0.00%, 0.51%, 0.05%, 0.00%, 0.64%, 3.13%, 0.00%, 5.28%, 5.37%, 0.00%, 3.41%, 0.00%, 2.71%, 1.88%, 0.00%, 0.81%, 0.00%, 0.27%, 0.09%, 0.00%, 0.01%, 0.00%, 0.00%, 0.05%, 0.55%, 0.00%, 1.65%, 0.00%, 1.94%, 5.98%, 
trk2,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.00%, 1.82%, 13.97%, 0.00%, 19.81%, 0.00%, 13.08%, 14.99%, 0.00%, 8.79%, 2.13%, 0.00%, 0.48%, 0.00%, 0.13%, 0.02%, 0.00%, 0.66%, 4.15%, 0.00%, 4.93%, 5.48%, 0.00%, 2.18%, 0.00%, 1.40%, 0.89%, 0.00%, 0.27%, 0.00%, 0.14%, 0.06%, 0.00%, 0.01%, 0.00%, 0.00%, 0.01%, 0.24%, 0.00%, 1.36%, 0.00%, 1.58%, 3.67%, 
trk3,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.00%, 1.17%, 8.32%, 0.00%, 17.56%, 0.00%, 12.62%, 12.03%, 0.00%, 7.06%, 3.60%, 0.00%, 1.75%, 0.00%, 0.52%, 0.02%, 0.00%, 0.34%, 2.16%, 0.00%, 4.80%, 5.41%, 0.00%, 4.72%, 0.00%, 4.08%, 2.91%, 0.00%, 1.39%, 0.00%, 0.75%, 0.40%, 0.00%, 0.03%, 0.00%, 0.00%, 0.04%, 0.49%, 0.00%, 1.74%, 0.00%, 2.80%, 9.45%, 
trk4,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.05%, 0.00%, 1.70%, 8.57%, 0.00%, 17.59%, 0.00%, 11.49%, 10.50%, 0.00%, 7.45%, 3.20%, 0.00%, 2.07%, 0.00%, 0.93%, 0.13%, 0.00%, 0.67%, 2.77%, 0.00%, 4.62%, 5.80%, 0.00%, 4.93%, 0.00%, 4.55%, 2.85%, 0.00%, 1.62%, 0.00%, 0.94%, 0.47%, 0.00%, 0.13%, 0.01%, 0.00%, 0.12%, 0.83%, 0.00%, 1.77%, 0.00%, 1.71%, 8.29%, 
trk5,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.99%, 9.35%, 0.00%, 21.60%, 0.00%, 12.41%, 10.29%, 0.00%, 6.31%, 2.90%, 0.00%, 1.49%, 0.00%, 0.30%, 0.01%, 0.00%, 0.27%, 1.70%, 0.00%, 4.35%, 6.16%, 0.00%, 5.45%, 0.00%, 4.67%, 2.88%, 0.00%, 1.74%, 0.00%, 0.84%, 0.31%, 0.00%, 0.02%, 0.00%, 0.00%, 0.01%, 0.29%, 0.00%, 1.39%, 0.00%, 1.87%, 8.61%, 
trk6,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.03%, 0.00%, 1.23%, 9.51%, 0.00%, 19.93%, 0.00%, 11.60%, 10.06%, 0.00%, 6.73%, 3.30%, 0.00%, 1.92%, 0.00%, 0.64%, 0.05%, 0.00%, 0.47%, 2.25%, 0.00%, 4.73%, 5.78%, 0.00%, 4.94%, 0.00%, 4.27%, 2.99%, 0.00%, 1.62%, 0.00%, 0.87%, 0.38%, 0.00%, 0.05%, 0.00%, 0.00%, 0.06%, 0.55%, 0.00%, 1.56%, 0.00%, 1.85%, 8.29%, 
trk7,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.01%, 0.00%, 1.13%, 9.35%, 0.00%, 20.26%, 0.00%, 11.15%, 10.20%, 0.00%, 6.13%, 3.06%, 0.00%, 1.91%, 0.00%, 0.38%, 0.02%, 0.00%, 0.42%, 2.35%, 0.00%, 4.70%, 5.88%, 0.00%, 5.48%, 0.00%, 4.89%, 3.23%, 0.00%, 2.08%, 0.00%, 1.21%, 0.44%, 0.00%, 0.06%, 0.00%, 0.00%, 0.01%, 0.37%, 0.00%, 1.21%, 0.00%, 1.76%, 8.54%, 
trk8,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.14%, 0.00%, 2.41%, 12.12%, 0.00%, 17.32%, 0.00%, 11.92%, 8.84%, 0.00%, 5.50%, 4.04%, 0.00%, 2.40%, 0.00%, 0.81%, 0.28%, 0.00%, 1.20%, 3.36%, 0.00%, 3.68%, 4.73%, 0.00%, 5.31%, 0.00%, 3.56%, 2.49%, 0.00%, 2.01%, 0.00%, 1.43%, 0.64%, 0.00%, 0.20%, 0.05%, 0.00%, 0.28%, 1.03%, 0.00%, 1.48%, 0.00%, 1.04%, 7.58%, 
